du_unix_timestamp,d_iso,download_count_facebook/react,star_count_facebook/react,download_count_angular/angular,star_count_angular/angular,download_count_sveltejs/svelte,star_count_sveltejs/svelte,download_count_vuejs/core,star_count_vuejs/core,download_count_preactjs/preact,star_count_preactjs/preact,download_count_bigskysoftware/htmx,star_count_bigskysoftware/htmx,download_count_solidjs/solid,star_count_solidjs/solid
1451862000000,2016-01-04,245036,30243,,6542,,,8636,,278,141,,,,
1452466800000,2016-01-11,269427,30646,,6705,,,12720,,97,144,,,,
1453071600000,2016-01-18,252472,31019,,6843,,,14345,,124,147,,,,
1453676400000,2016-01-25,269430,31338,,6987,,,11361,,654,1408,,,,
1454281200000,2016-02-01,272925,31632,,7154,,,7995,,1314,1697,,,,
1454886000000,2016-02-08,252172,31846,,7278,,,5309,,572,1756,,,,
1455490800000,2016-02-15,274416,32210,,7457,,,6948,,410,1807,,,,
1456095600000,2016-02-22,280907,32641,,7608,,,6886,,559,1882,,,,
1456700400000,2016-02-29,301164,33050,,7758,,,9497,,458,1946,,,,
1457305200000,2016-03-07,306077,33455,,7934,,,9058,,871,2001,,,,
1457910000000,2016-03-14,308065,33911,,8123,,,10265,,718,2020,,,,
1458514800000,2016-03-21,283019,34420,,8327,,,31556,,597,2047,,,,
1459116000000,2016-03-28,313857,34785,,8486,,,12756,,309,2071,,,,
1459720800000,2016-04-04,421718,35245,,8660,,,27757,,261,2133,,,,
1460325600000,2016-04-11,403278,35697,,8850,,,36232,,2803,2154,,,,
1460930400000,2016-04-18,379125,36103,,9001,,,16998,,2125,2182,,,,
1461535200000,2016-04-25,348735,36482,,9160,,,12849,,1055,2227,,,,
1462140000000,2016-05-02,339513,36799,,9570,,,15164,,856,2266,,,,
1462744800000,2016-05-09,367667,37105,,9797,,,40110,,860,2283,,,,
1463349600000,2016-05-16,419469,37423,,9994,,,29530,,1777,2422,,,,
1463954400000,2016-05-23,418829,37761,,10164,,,29149,,3183,2478,,,,
1464559200000,2016-05-30,373003,38105,,10372,,,21689,,1955,2533,,,,
1465164000000,2016-06-06,377330,38391,,10537,,,24801,,3311,2607,,,,
1465768800000,2016-06-13,370451,38783,,10720,,,39678,,5893,2710,,,,
1466373600000,2016-06-20,380767,39126,,10924,,,24553,,4023,2796,,,,
1466978400000,2016-06-27,431128,39475,,11136,,,48627,,3306,2831,,,,
1467583200000,2016-07-04,415438,39863,,11371,,,36211,,3605,2882,,,,
1468188000000,2016-07-11,425237,40248,,11564,,,27215,,2841,2949,,,,
1468792800000,2016-07-18,417931,40714,,11757,,,28260,,5473,3032,,,,
1469397600000,2016-07-25,414534,41134,,11948,,,32534,,1362,3066,,,,
1470002400000,2016-08-01,443747,41505,,12111,,,31324,,1582,3122,,,,
1470607200000,2016-08-08,437397,41808,,12326,,,33514,,2023,3152,,,,
1471212000000,2016-08-15,468902,42188,,12499,,,29647,,2337,3219,,,,
1471816800000,2016-08-22,514026,42608,,12694,,,29872,,2141,3267,,,,
1472421600000,2016-08-29,454535,42962,,12909,,,27199,,2459,3436,,,,
1473026400000,2016-09-05,436406,43335,,13116,,,23769,,2152,3487,,,,
1473631200000,2016-09-12,476188,43718,,13614,,,25991,,2522,3531,,,,
1474236000000,2016-09-19,558031,44129,,13903,,,32010,,2092,3568,,,,
1474840800000,2016-09-26,541757,45134,20589,14128,,,51679,,3098,3647,,,,
1475445600000,2016-10-03,509437,45584,142405,14307,,,43068,,3483,3725,,,,
1476050400000,2016-10-10,540382,46013,147174,14494,,,44885,,2652,3793,,,,
1476655200000,2016-10-17,548036,46505,157682,14686,,,44040,,2500,4076,,,,
1477260000000,2016-10-24,540680,46959,156548,14856,,,43655,,3290,4176,,,,
1477868400000,2016-10-31,542077,47456,145314,15017,,,44711,,3299,4246,,,,
1478473200000,2016-11-07,541737,47874,140592,15163,,,48133,,3234,4362,,,,
1479078000000,2016-11-14,649023,48372,171349,15319,44,4,57121,,4118,4709,,,,
1479682800000,2016-11-21,577018,48720,170212,15451,253,35,56979,,3370,4948,,,,
1480287600000,2016-11-28,633433,49087,173799,15607,1276,2459,55056,,4999,5200,,,,
1480892400000,2016-12-05,642119,49466,190456,15778,995,2906,53266,,4950,5436,,,,
1481497200000,2016-12-12,634167,49834,196659,15986,784,3015,62426,,4604,5584,,,,
