du_unix_timestamp,d_iso,download_count_mui/material-ui,star_count_mui/material-ui,download_count_ant-design/ant-design,star_count_ant-design/ant-design,download_count_shadcn-ui/ui,star_count_shadcn-ui/ui,download_count_chakra-ui/chakra-ui,star_count_chakra-ui/chakra-ui,download_count_react-bootstrap/react-bootstrap,star_count_react-bootstrap/react-bootstrap,download_count_nextui-org/nextui,star_count_nextui-org/nextui,download_count_palantir/blueprint,star_count_palantir/blueprint
1578265200000,2020-01-06,,49936,339167,,,,,3783,459353,16066,,,106452,14708
1578870000000,2020-01-13,,50133,357684,,,,,3875,483316,16104,,,108500,14752
1579474800000,2020-01-20,,50294,317820,,,,,3928,487525,16132,,,102257,14789
1580079600000,2020-01-27,,50469,302769,,,,,4007,500558,16162,,,107947,14817
1580684400000,2020-02-03,,50707,325490,,,,,4088,574610,16193,,,103825,14868
1581289200000,2020-02-10,,50885,332251,,,,,4557,572869,16226,,,113236,14921
1581894000000,2020-02-17,,51090,350747,,,,,4707,560977,16269,,,110148,14950
1582498800000,2020-02-24,,51276,355562,,,,,4795,536992,16309,,,115155,14997
1583103600000,2020-03-02,,51542,367119,,,,,4921,558234,16347,,,118700,15034
1583708400000,2020-03-09,,51747,371059,,,,,5028,540837,16390,,,117729,15067
1584313200000,2020-03-16,,51980,385679,,,,,5099,569885,16440,,,117461,15091
1584918000000,2020-03-23,,52194,414830,,,,,5213,614716,16480,,,130605,15125
1585519200000,2020-03-30,,52389,434424,,,,,5339,612275,16523,,,133482,15162
1586124000000,2020-04-06,,52597,459330,,,,,5485,579346,16569,,,122095,15201
1586728800000,2020-04-13,,52842,425526,,,,,5602,610383,16615,,,116830,15244
1587333600000,2020-04-20,,53094,431374,,,,,5687,671163,16670,,,123374,15294
1587938400000,2020-04-27,,53302,409486,,,,,5806,650239,16738,,,137365,15351
1588543200000,2020-05-04,,53551,420762,,,,,5962,683799,16787,,,118035,15396
1589148000000,2020-05-11,,53775,457407,,,,,6081,655410,16826,,,120592,15436
1589752800000,2020-05-18,,53995,442508,,,,,6190,639364,16880,,,117936,15469
1590357600000,2020-05-25,,54209,458086,,,,,6297,612552,16922,,,116310,15506
1590962400000,2020-06-01,,54431,449569,,,,,6431,652163,16962,,,109207,15540
1591567200000,2020-06-08,,54638,444003,,,,,6807,645842,16998,,,107151,15586
1592172000000,2020-06-15,,54826,457455,,,,,7236,650315,17042,,,115430,15623
1592776800000,2020-06-22,,55003,357396,,,,,7450,558284,17082,,,100652,15680
1593381600000,2020-06-29,,55345,442999,,,,,7593,560806,17134,,,112798,15704
1593986400000,2020-07-06,,55534,459889,,,,,7758,619237,17174,,,123977,15734
1594591200000,2020-07-13,,55720,448117,,,,,7884,628210,17219,,,129440,15760
1595196000000,2020-07-20,,55924,468107,,,,,8149,654444,17266,,,122125,15791
1595800800000,2020-07-27,,56105,495449,,,,,8303,702088,17297,,,128029,15827
1596405600000,2020-08-03,,56311,493690,,,,,8456,655371,17338,,,125749,15869
1597010400000,2020-08-10,,56519,485118,,,,,8796,647092,17370,,,129488,15907
1597615200000,2020-08-17,,56709,457501,,,,,9079,635811,17399,,,127870,15944
1598220000000,2020-08-24,,56887,474759,,,,,9387,643780,17445,,,127204,15977
1598824800000,2020-08-31,,57067,475422,,,,,9620,655983,17484,,,119409,16015
1599429600000,2020-09-07,,57278,464974,,,,,9797,612838,17521,,,111735,16041
1600034400000,2020-09-14,,57452,496641,,,,,9933,709438,17555,,,131477,16074
1600639200000,2020-09-21,,57613,489209,,,,,10066,721835,17595,,,133749,16106
1601244000000,2020-09-28,,57781,467529,,,,,10204,696430,17647,,,135896,16141
1601848800000,2020-10-05,,57951,465698,,,,,10351,688342,17679,,,132597,16175
1602453600000,2020-10-12,,58111,495629,,,,,10485,713850,17718,,,134867,16196
1603058400000,2020-10-19,,58275,518669,,,,,10652,729080,17745,,,153153,16231
1603666800000,2020-10-26,,58454,521271,,,,,10821,710251,17776,,,151948,16258
1604271600000,2020-11-02,,58613,510311,,,,,10948,703252,17811,,,137508,16280
1604876400000,2020-11-09,,58812,524055,,,,2057,11316,708984,17837,,,142971,16304
1605481200000,2020-11-16,,58964,528716,,,,10410,11721,725809,17874,,,148180,16334
1606086000000,2020-11-23,,59492,482595,,,,12644,11883,622618,17911,,,126343,16363
1606690800000,2020-11-30,,59647,533230,,,,18690,12034,732206,17951,,,145374,16396
1607295600000,2020-12-07,,59832,541111,,,,22882,12178,758280,17988,,,142070,16424
